source_id,ra,dec,pmra,pmdec,parallax,parallax_error,phot_g_mean_mag
68215045712094976,54.471057,24.053559,12.9,-5.1,5.0,0.9,20.2
68167320036909056,55.243308,24.011759,8.0,0.8,0.7,0.1,17.1
68216965563247232,54.620188,24.166804,6.7,-11.0,0.5,0.1,16.4
68243151979321728,54.787602,24.298340,32.5,-9.8,4.2,0.1,15.2
68246381794729600,54.609783,24.350169,-45.9,-49.1,4.8,0.1,16.0
68384129986368128,55.413271,24.919680,10.7,-2.8,0.5,0.1,15.9
68411068021053440,54.406201,24.303492,-4.3,-2.0,1.8,0.1,16.5
68385985412240384,55.339001,24.953333,4.8,-5.2,0.9,0.1,17.2
68243942253304448,54.746440,24.307872,-6.0,-5.9,3.0,0.1,15.3
68243220698798592,54.770956,24.303346,2.3,-1.7,0.9,0.0,14.5
68410243387332864,54.421812,24.286417,0.7,-6.7,1.2,0.0,15.3
68244423289639936,54.740092,24.355381,7.6,-1.0,1.8,0.0,15.0
68336404309822976,55.198083,24.566122,-5.9,-7.3,0.9,0.1,15.6
68248443379027968,54.666559,24.409536,-3.1,-7.1,0.6,0.1,16.3
68369252219665152,55.414640,24.827262,-18.1,-24.2,3.3,0.2,17.5
68243323778012288,54.794563,24.319601,7.8,3.3,1.4,0.2,17.6
68329081388858112,55.228198,24.389044,-4.1,-1.5,2.1,0.3,18.7
68387630383786624,55.388239,24.990840,23.1,-26.5,5.4,0.2,17.7
68243014540367616,54.824843,24.296590,6.5,-6.6,1.4,0.2,17.5
68248615177720576,54.643232,24.404583,11.0,-13.2,1.0,0.0,15.1
68331559586852224,55.248016,24.456603,0.5,-2.2,0.5,0.0,13.4
68382446359194240,55.326703,24.907682,-0.8,-0.3,0.6,0.0,13.7
68411205460005888,54.423099,24.326971,-3.3,-15.0,2.8,0.0,13.0
68241880669006592,54.695038,24.248669,4.8,0.9,1.0,0.1,15.3
68243289418273152,54.809831,24.324892,1.2,-3.0,0.8,0.2,17.4
68369252219666304,55.418411,24.813259,-4.5,-7.7,1.3,0.1,16.5
68411377258697984,54.396700,24.335350,-88.7,-2.0,7.0,0.1,15.5
68414469635150592,54.357177,24.360981,-2.2,-0.0,1.2,0.0,13.9
68336296934074496,55.195545,24.549282,5.4,-1.0,1.9,0.3,18.2
68244114051994240,54.791238,24.333510,21.7,-16.4,2.0,0.0,15.3
68346506073039488,55.049410,24.541000,6.0,-15.2,1.1,0.0,14.5
68329699864147712,55.204064,24.387683,9.2,-18.0,2.4,0.4,19.0
